,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
0,-47364,137,143,211.13,215.3322,-199033.00080000024,-0.01990337706626244,2018-11-09 16:00:00,2018-11-10 16:00:00,1 days 00:00:00,2550
1,78989,251,251,124.08,126.49020000000002,190379.2878000014,0.019424564796905353,2018-11-28 20:00:00,2018-11-28 20:00:00,0 days 00:00:00,2550
2,83448,269,276,119.73,114.97919999999999,-396444.75840000104,-0.03967927837634688,2018-12-01 20:00:00,2018-12-03 00:00:00,1 days 04:00:00,2550
3,106847,364,364,89.8,91.6266,195166.7301999999,0.020340757238307416,2018-12-17 16:00:00,2018-12-17 16:00:00,0 days 00:00:00,2550
0,92712,147,147,107.86,110.0172,199998.32640000028,0.020000000000000018,2019-02-02 20:00:00,2019-02-02 20:00:00,0 days 00:00:00,3050
1,94663,158,166,107.75,103.44,-407997.5300000002,-0.040000000000000036,2019-02-04 16:00:00,2019-02-06 00:00:00,1 days 08:00:00,3050
2,86954,182,182,112.61,114.8112,191403.1448,0.01954710949294025,2019-02-08 16:00:00,2019-02-08 16:00:00,0 days 00:00:00,3050
3,73026,334,336,136.71,139.4544,200412.5543999989,0.020074610489356992,2019-03-06 00:00:00,2019-03-06 08:00:00,0 days 08:00:00,3050
4,75469,390,391,134.94,137.60819999999998,201366.38579999882,0.019773232547798836,2019-03-15 12:00:00,2019-03-15 16:00:00,0 days 04:00:00,3050
5,74939,462,473,138.58,141.3108,204643.42119999908,0.01970558522153265,2019-03-27 12:00:00,2019-03-29 08:00:00,1 days 20:00:00,3050
0,58281,122,122,171.58,174.9708,197619.21479999908,0.019762210047790996,2019-04-23 04:00:00,2019-04-23 04:00:00,0 days 00:00:00,3550
1,63006,169,183,161.85,165.0666,202665.0996,0.01987395736793318,2019-05-01 00:00:00,2019-05-03 08:00:00,2 days 08:00:00,3550
2,42055,420,422,247.3,252.348,212293.64000000007,0.02041245450869389,2019-06-12 04:00:00,2019-06-12 12:00:00,0 days 08:00:00,3550
0,-44567,264,268,224.38,215.3664,401709.11119999987,0.040171138247615645,2019-08-08 12:00:00,2019-08-09 04:00:00,0 days 16:00:00,4050
1,58541,415,419,177.68,181.203,206239.94299999977,0.01982778027915355,2019-09-02 20:00:00,2019-09-03 12:00:00,0 days 16:00:00,4050
2,59736,446,446,177.58,181.17239999999998,214595.60639999819,0.020229755603108357,2019-09-08 00:00:00,2019-09-08 00:00:00,0 days 00:00:00,4050
3,59889,476,485,180.71,184.3344,217061.6915999988,0.020056444026340436,2019-09-13 00:00:00,2019-09-14 12:00:00,1 days 12:00:00,4050
0,-54755,151,166,182.63,186.2826,-199998.11300000036,-0.020000000000000018,2019-10-12 04:00:00,2019-10-14 16:00:00,2 days 12:00:00,4550
1,-54432,173,177,180.04,172.85760000000002,390952.39679999853,0.03989335703177055,2019-10-15 20:00:00,2019-10-16 12:00:00,0 days 16:00:00,4550
2,-56525,267,267,180.29,183.906,-204394.40000000078,-0.020056575517222397,2019-10-31 12:00:00,2019-10-31 12:00:00,0 days 00:00:00,4550
3,-55122,286,290,181.17,184.86480000000003,-203664.7656000024,-0.02039410498426908,2019-11-03 16:00:00,2019-11-04 08:00:00,0 days 16:00:00,4550
4,-52903,314,325,184.92,188.6592,-197814.89760000058,-0.020220635950681354,2019-11-08 08:00:00,2019-11-10 04:00:00,1 days 20:00:00,4550
5,-51693,337,346,185.42,189.1284,-191698.32120000062,-0.020000000000000018,2019-11-12 04:00:00,2019-11-13 16:00:00,1 days 12:00:00,4550
6,-50731,351,357,185.16,177.7248,377195.13120000047,0.040155541153596985,2019-11-14 12:00:00,2019-11-15 12:00:00,1 days 00:00:00,4550
7,-53575,375,376,182.37,175.07520000000002,390818.909999999,0.039999999999999925,2019-11-18 12:00:00,2019-11-18 16:00:00,0 days 04:00:00,4550
8,66043,431,441,153.86,156.93720000000002,203227.51960000032,0.020000000000000018,2019-11-27 20:00:00,2019-11-29 12:00:00,1 days 16:00:00,4550
9,68785,496,499,150.68,150.3,-26138.299999999686,-0.0025219007167507357,2019-12-08 16:00:00,2019-12-09 04:00:00,0 days 12:00:00,4550
0,78468,116,121,127.44,129.9684,198398.49120000037,0.019839924670433273,2019-12-28 16:00:00,2019-12-29 12:00:00,0 days 20:00:00,5050
1,-40834,417,417,249.75,254.75519999999997,-204382.3367999989,-0.02004084084084079,2020-02-16 20:00:00,2020-02-16 20:00:00,0 days 00:00:00,5050
2,-39449,438,438,253.34,258.3864,-199075.4335999991,-0.01991947580326814,2020-02-20 12:00:00,2020-02-20 12:00:00,0 days 00:00:00,5050
3,-38019,467,467,257.63,262.8438,-198223.4621999997,-0.02023754997477001,2020-02-25 08:00:00,2020-02-25 08:00:00,0 days 00:00:00,5050
0,78124,107,107,128.0,130.54979999999998,199200.57519999816,0.019920312499999815,2020-03-19 16:00:00,2020-03-19 16:00:00,0 days 00:00:00,5550
1,75054,133,135,135.89,138.6384,206278.4136000003,0.020225182132607378,2020-03-24 00:00:00,2020-03-24 08:00:00,0 days 08:00:00,5550
2,78751,176,180,132.13,134.78279999999998,208910.65279999882,0.020077196700219346,2020-03-31 04:00:00,2020-03-31 20:00:00,0 days 16:00:00,5550
0,42673,174,176,234.34,241.3599,299560.1927000003,0.029956046769650913,2020-06-22 04:00:00,2020-06-22 12:00:00,0 days 08:00:00,6050
1,44893,231,251,229.42,229.24,-8080.73999999903,-0.0007845872199458981,2020-07-01 16:00:00,2020-07-05 00:00:00,3 days 08:00:00,6050
2,44893,251,259,229.24,232.82,160716.93999999927,0.01561682079916249,2020-07-05 00:00:00,2020-07-06 08:00:00,1 days 08:00:00,6050
3,44893,259,261,232.82,239.784,312634.85199999996,0.02991151962889793,2020-07-06 08:00:00,2020-07-06 16:00:00,0 days 08:00:00,6050
0,27000,154,159,370.36,359.10369999999995,-303920.1000000018,-0.030392861000108184,2020-09-10 04:00:00,2020-09-11 00:00:00,0 days 20:00:00,6550
1,25522,197,200,379.91,391.297,290619.014,0.02997288831565381,2020-09-17 08:00:00,2020-09-17 20:00:00,0 days 12:00:00,6550
2,28221,248,264,353.87,364.48609999999996,299596.9580999989,0.029999999999999805,2020-09-25 20:00:00,2020-09-28 12:00:00,2 days 16:00:00,6550
3,29312,305,313,350.92,340.4021,-308300.68479999993,-0.029972358372278518,2020-10-05 08:00:00,2020-10-06 16:00:00,1 days 08:00:00,6550
4,28513,328,329,349.94,360.4382,299335.1765999999,0.030000000000000027,2020-10-09 04:00:00,2020-10-09 08:00:00,0 days 04:00:00,6550
0,17269,219,219,579.07,584.8102,99127.51379999929,0.009912791199682136,2020-12-13 08:00:00,2020-12-13 08:00:00,0 days 00:00:00,7050
1,16306,294,294,619.34,625.594,101977.72400000031,0.010097846094229368,2020-12-25 20:00:00,2020-12-25 20:00:00,0 days 00:00:00,7050
0,6369,191,191,1570.0,1585.5585999999998,99092.723399999,0.009909936305732447,2021-03-02 00:00:00,2021-03-02 00:00:00,0 days 00:00:00,7550
1,6352,217,218,1589.7,1541.6307,-305336.1936000007,-0.030237969428194122,2021-03-06 08:00:00,2021-03-06 12:00:00,0 days 04:00:00,7550
2,5787,343,345,1692.11,1708.9805999999999,97630.16219999982,0.009970155604541064,2021-03-27 08:00:00,2021-03-27 16:00:00,0 days 08:00:00,7550
0,-2668,127,127,3747.01,3784.4902,-99997.17359999992,-0.01000269548253141,2021-05-13 16:00:00,2021-05-13 16:00:00,0 days 00:00:00,8050
1,-2554,139,139,3875.52,3759.2544,296942.34240000043,0.030000000000000027,2021-05-15 16:00:00,2021-05-15 16:00:00,0 days 00:00:00,8050
2,-3917,266,266,2602.77,2628.7977,-101950.50090000038,-0.010000000000000009,2021-06-05 20:00:00,2021-06-05 20:00:00,0 days 00:00:00,8050
3,-4173,332,334,2418.86,2443.0486,-100939.02779999979,-0.010000000000000009,2021-06-16 20:00:00,2021-06-17 04:00:00,0 days 08:00:00,8050
4,-4901,426,426,2038.99,2059.3799,-99930.8998999995,-0.010000000000000009,2021-07-02 12:00:00,2021-07-02 12:00:00,0 days 00:00:00,8050
5,-4562,462,464,2168.59,2103.5323000000003,296793.2273999993,0.029999999999999916,2021-07-08 12:00:00,2021-07-08 20:00:00,0 days 08:00:00,8050
0,3108,219,220,3216.59,3248.7559000000006,99971.6172000013,0.010000000000000231,2021-08-20 08:00:00,2021-08-20 12:00:00,0 days 04:00:00,8550
1,-2924,329,329,3453.89,3487.227,-97477.38799999996,-0.009652015553477389,2021-09-07 16:00:00,2021-09-07 16:00:00,0 days 00:00:00,8550
2,3269,445,445,3059.36,3089.9637,100043.4952999989,0.010003301344071902,2021-09-27 00:00:00,2021-09-27 00:00:00,0 days 00:00:00,8550
3,3383,467,467,2985.67,3015.5267000000003,101005.21610000092,0.010000000000000009,2021-09-30 16:00:00,2021-09-30 16:00:00,0 days 00:00:00,8550
0,-2385,156,156,4191.5,4232.566599999999,-97943.8409999981,-0.009797590361445563,2021-11-01 04:00:00,2021-11-01 04:00:00,0 days 00:00:00,9050
1,-2266,188,189,4369.53,4413.215200000001,-98990.66320000183,-0.009997688538584404,2021-11-06 12:00:00,2021-11-06 16:00:00,0 days 04:00:00,9050
2,-2130,224,225,4600.85,4646.8585,-97998.1049999998,-0.010000000000000009,2021-11-12 12:00:00,2021-11-12 16:00:00,0 days 04:00:00,9050
3,-2354,388,388,4122.46,4163.6846000000005,-97042.7084000011,-0.010000000000000009,2021-12-09 20:00:00,2021-12-09 20:00:00,0 days 00:00:00,9050
0,-3071,120,126,3255.94,3125.7024,399959.6695999998,0.039999999999999925,2022-01-17 12:00:00,2022-01-18 12:00:00,1 days 00:00:00,9550
