,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
0,-60448,123,131,165.43,170.4032,-300619.99359999946,-0.03006226198392059,2021-10-04 15:30:00,2021-10-04 17:30:00,0 days 02:00:00,40050
1,-58539,191,219,165.69,162.3664,194560.22039999993,0.0200591465990706,2021-10-05 08:30:00,2021-10-05 15:30:00,0 days 07:00:00,40050
2,-63873,409,442,154.9,155.12,-14052.059999999927,-0.0014202711426727355,2021-10-07 15:00:00,2021-10-07 23:15:00,0 days 08:15:00,40050
3,-63691,442,454,155.12,154.72,25476.40000000036,0.002578648788035154,2021-10-07 23:15:00,2021-10-08 02:15:00,0 days 03:00:00,40050
4,-64021,454,477,154.72,159.3616,-297159.8736000007,-0.030000000000000027,2021-10-08 02:15:00,2021-10-08 08:00:00,0 days 05:45:00,40050
5,-58504,519,522,164.23,164.15,4680.319999999068,0.00048712171953957384,2021-10-08 18:30:00,2021-10-08 19:15:00,0 days 00:45:00,40050
6,-58561,522,528,164.15,160.867,192255.7630000009,0.02000000000000013,2021-10-08 19:15:00,2021-10-08 20:45:00,0 days 01:30:00,40050
7,-65206,776,777,150.37,147.35280000000003,196739.54319999833,0.020065172574316503,2021-10-11 10:45:00,2021-10-11 11:00:00,0 days 00:15:00,40050
8,69078,829,831,144.79,141.87460000000002,-201390.0011999984,-0.020135368464672787,2021-10-12 00:00:00,2021-10-12 00:30:00,0 days 00:30:00,40050
9,67491,837,841,145.21,142.3058,-196007.3622000002,-0.020000000000000018,2021-10-12 02:00:00,2021-10-12 03:00:00,0 days 01:00:00,40050
10,66605,847,851,144.2,141.30620000000002,-192741.54899999802,-0.020067961165048387,2021-10-12 04:30:00,2021-10-12 05:30:00,0 days 01:00:00,40050
11,64984,854,862,144.83,144.55,-18195.520000000073,-0.0019333011116481336,2021-10-12 06:15:00,2021-10-12 08:15:00,0 days 02:00:00,40050
12,64984,862,868,144.55,141.66879999999998,-187231.9008000023,-0.019932203389830705,2021-10-12 08:15:00,2021-10-12 09:45:00,0 days 01:30:00,40050
13,63671,886,888,144.59,141.708,-183499.8220000003,-0.0199322221453766,2021-10-12 14:15:00,2021-10-12 14:45:00,0 days 00:30:00,40050
14,-60442,939,947,149.28,146.314,179270.9720000005,0.01986870310825295,2021-10-13 03:30:00,2021-10-13 05:30:00,0 days 02:00:00,40050
15,-60796,1087,1118,151.36,148.323,184637.45200000037,0.02006474630021149,2021-10-14 16:30:00,2021-10-15 00:15:00,0 days 07:45:00,40050
16,-59556,1166,1174,157.61,158.29,-40498.079999998714,-0.0043144470528517775,2021-10-15 12:15:00,2021-10-15 14:15:00,0 days 02:00:00,40050
17,-59044,1174,1175,158.29,163.049,-280990.3960000009,-0.030065070440331132,2021-10-15 14:15:00,2021-10-15 14:30:00,0 days 00:15:00,40050
18,-56604,1217,1266,160.15,159.81,19245.360000000193,0.0021230096784264907,2021-10-16 01:00:00,2021-10-16 13:15:00,0 days 12:15:00,40050
19,-56845,1266,1300,159.81,156.6138,181687.98900000026,0.020000000000000018,2021-10-16 13:15:00,2021-10-16 21:45:00,0 days 08:30:00,40050
20,-56653,1364,1366,163.56,163.89,-18695.4899999991,-0.002017608217167899,2021-10-17 13:45:00,2021-10-17 14:15:00,0 days 00:30:00,40050
21,-56424,1366,1371,163.89,160.6024,185499.54239999986,0.020059796204771496,2021-10-17 14:15:00,2021-10-17 15:30:00,0 days 01:15:00,40050
22,-59189,1423,1444,159.37,156.163,189819.1229999996,0.020122984250486198,2021-10-18 04:30:00,2021-10-18 09:45:00,0 days 05:15:00,40050
23,-61194,1530,1581,157.25,154.0854,193654.53240000043,0.020124642289348182,2021-10-19 07:15:00,2021-10-19 20:00:00,0 days 12:45:00,40050
24,-52556,1744,1749,186.78,187.42,-33635.83999999928,-0.0034264910589998365,2021-10-21 12:45:00,2021-10-21 14:00:00,0 days 01:15:00,40050
25,-52197,1749,1750,187.42,183.67159999999998,195655.23480000018,0.020000000000000018,2021-10-21 14:00:00,2021-10-21 14:15:00,0 days 00:15:00,40050
26,-49058,1860,1865,203.4,199.332,199567.9440000006,0.020000000000000018,2021-10-22 17:45:00,2021-10-22 19:00:00,0 days 01:15:00,40050
27,-50869,1916,1955,200.08,196.0588,204554.4228000011,0.020097960815673832,2021-10-23 07:45:00,2021-10-23 17:30:00,0 days 09:45:00,40050
28,-50484,2130,2135,205.66,211.80919999999998,-310436.21279999893,-0.029899834678595694,2021-10-25 13:15:00,2021-10-25 14:30:00,0 days 01:15:00,40050
29,-47485,2154,2165,212.11,207.858,201906.22000000047,0.02004620244212918,2021-10-25 19:15:00,2021-10-25 22:00:00,0 days 02:45:00,40050
30,-52373,2439,2439,196.17,192.1976,208046.50519999964,0.020249783351175,2021-10-28 18:30:00,2021-10-28 18:30:00,0 days 00:00:00,40050
31,-53499,2452,2466,195.93,201.83880000000002,-316114.8912000007,-0.03015770938600526,2021-10-28 21:45:00,2021-10-29 01:15:00,0 days 03:30:00,40050
32,-51072,2485,2542,199.05,199.31,-13278.719999999536,-0.0013062044712384147,2021-10-29 06:00:00,2021-10-29 20:15:00,0 days 14:15:00,40050
33,-50939,2542,2550,199.31,200.17,-43807.539999999244,-0.004314886357934755,2021-10-29 20:15:00,2021-10-29 22:15:00,0 days 02:00:00,40050
34,-50501,2550,2581,200.17,196.1764,201680.7935999993,0.019951041614627463,2021-10-29 22:15:00,2021-10-30 06:00:00,0 days 07:45:00,40050
35,-53827,2661,2689,191.55,187.719,206211.23700000093,0.02000000000000013,2021-10-31 02:00:00,2021-10-31 09:00:00,0 days 07:00:00,40050
36,-51891,2763,2765,202.67,200.89,92365.98000000005,0.008782750283712448,2021-11-01 03:30:00,2021-11-01 04:00:00,0 days 00:30:00,40050
37,-52810,2765,2775,200.89,206.9167,-318270.0270000003,-0.030000000000000027,2021-11-01 04:00:00,2021-11-01 06:30:00,0 days 02:30:00,40050
38,-50197,2796,2816,205.01,200.9098,205817.73940000005,0.020000000000000018,2021-11-01 11:45:00,2021-11-01 16:45:00,0 days 05:00:00,40050
39,-52020,2836,2877,201.78,203.43,-85833.00000000029,-0.008177222717811405,2021-11-01 21:45:00,2021-11-02 08:00:00,0 days 10:15:00,40050
40,-51176,2877,2904,203.43,203.89,-23540.95999999895,-0.002261220075701509,2021-11-02 08:00:00,2021-11-02 14:45:00,0 days 06:45:00,40050
41,-50945,2904,2912,203.89,209.9964,-311090.5480000004,-0.029949482564127772,2021-11-02 14:45:00,2021-11-02 16:45:00,0 days 02:00:00,40050
42,-44431,2992,3008,226.78,222.24439999999998,201521.24360000074,0.020000000000000018,2021-11-03 12:45:00,2021-11-03 16:45:00,0 days 04:00:00,40050
43,-43026,3052,3068,238.87,239.12,-10756.5,-0.0010465943818813717,2021-11-04 03:45:00,2021-11-04 07:45:00,0 days 04:00:00,40050
44,-42936,3068,3092,239.12,239.5,-16315.679999999804,-0.001589160254265698,2021-11-04 07:45:00,2021-11-04 13:45:00,0 days 06:00:00,40050
45,-42800,3092,3101,239.5,238.47,44084.00000000005,0.004300626304801658,2021-11-04 13:45:00,2021-11-04 16:00:00,0 days 02:15:00,40050
46,-43170,3101,3120,238.47,245.6344,-309287.14800000004,-0.030043192015767106,2021-11-04 16:00:00,2021-11-04 20:45:00,0 days 04:45:00,40050
47,-41036,3138,3168,243.33,242.51,33649.520000000884,0.003369909176838104,2021-11-05 01:15:00,2021-11-05 08:45:00,0 days 07:30:00,40050
48,-41314,3168,3176,242.51,237.68919999999997,199166.5312000008,0.019878767885860404,2021-11-05 08:45:00,2021-11-05 10:45:00,0 days 02:00:00,40050
49,-42234,3274,3290,241.94,249.1982,-306542.8188000007,-0.030000000000000027,2021-11-06 11:15:00,2021-11-06 15:15:00,0 days 04:00:00,40050
50,-39158,3332,3358,253.12,252.35,30151.6600000004,0.003042035398230114,2021-11-07 01:45:00,2021-11-07 08:15:00,0 days 06:30:00,40050
51,-39397,3358,3404,252.35,247.28340000000003,199608.84019999864,0.020077669902912487,2021-11-07 08:15:00,2021-11-07 19:45:00,0 days 11:30:00,40050
52,-41555,3503,3517,244.05,251.3612,-303816.9159999994,-0.029957795533702036,2021-11-08 20:30:00,2021-11-09 00:00:00,0 days 03:30:00,40050
53,-39878,3529,3563,246.69,245.9,31503.619999999682,0.003202399772994413,2021-11-09 03:00:00,2021-11-09 11:30:00,0 days 08:30:00,40050
54,-40135,3563,3577,245.9,240.95260000000002,198563.8989999995,0.02011956079707189,2021-11-09 11:30:00,2021-11-09 15:00:00,0 days 03:30:00,40050
55,-41801,3688,3693,240.85,236.04280000000003,200945.76719999858,0.019959310774340766,2021-11-10 18:45:00,2021-11-10 20:00:00,0 days 01:15:00,40050
56,-42676,3756,3782,240.62,235.8076,205373.98239999986,0.020000000000000018,2021-11-11 11:45:00,2021-11-11 18:15:00,0 days 06:30:00,40050
