,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,PnL,ReturnPct,EntryTime,ExitTime,Duration,Validation_Set
0,-52637,104,106,189.98,182.4,398988.45999999915,0.03989893673018208,2021-10-27 12:00:00,2021-10-27 20:00:00,0 days 08:00:00,2550
1,-53838,123,128,193.15,198.9754,-313627.8852000001,-0.030159979290706795,2021-10-30 16:00:00,2021-10-31 12:00:00,0 days 20:00:00,2550
2,-41997,184,188,240.14,247.3545,-302987.35650000063,-0.030042891646539616,2021-11-09 20:00:00,2021-11-10 12:00:00,0 days 16:00:00,2550
3,-41731,213,215,234.41,241.4423,-293464.9112999997,-0.030000000000000027,2021-11-14 16:00:00,2021-11-15 00:00:00,0 days 08:00:00,2550
4,-41862,223,223,226.67,217.5648,381161.8823999998,0.040169409273393075,2021-11-16 08:00:00,2021-11-16 08:00:00,0 days 00:00:00,2550
5,-50334,330,330,196.09,201.9727,-296099.8218,-0.030000000000000027,2021-12-04 04:00:00,2021-12-04 04:00:00,0 days 00:00:00,2550
6,53626,401,403,178.53,183.87560000000002,286663.145600001,0.02994230661513475,2021-12-16 00:00:00,2021-12-16 08:00:00,0 days 08:00:00,2550
7,-53137,477,477,185.57,178.1568,393915.2083999994,0.03994826750013469,2021-12-28 16:00:00,2021-12-28 16:00:00,0 days 00:00:00,2550
0,103842,168,169,96.3,93.4207,-298992.27060000005,-0.029899273104880608,2022-01-29 12:00:00,2022-01-29 16:00:00,0 days 04:00:00,3050
1,98587,182,182,98.4,95.4383,-291985.11790000077,-0.030098577235772472,2022-01-31 20:00:00,2022-01-31 20:00:00,0 days 00:00:00,3050
2,-84385,233,234,111.5,114.845,-282267.8249999999,-0.030000000000000027,2022-02-09 08:00:00,2022-02-09 12:00:00,0 days 04:00:00,3050
3,102848,329,330,88.74,91.4022,273801.94559999986,0.030000000000000027,2022-02-25 08:00:00,2022-02-25 12:00:00,0 days 04:00:00,3050
